Modnames,K,AICc,Delta_AICc,ModelLik,AICcWt,LL
Energetic,9,1240.5346803096,0,1,0.418486201597723,-610.624483011941
Temp,7,1240.7325226551,0.197842345503659,0.905814108042869,0.37907070542849,-612.971895130367
Base,5,1244.33890430949,3.80422399989402,0.149253063650734,0.0624603476840188,-616.961118821412
Coat,7,1244.72540252808,4.19072221848637,0.12302580987463,0.0514846038729177,-614.968335066859
Null,4,1245.64501026303,5.11032995343453,0.0776794157151279,0.0325077636249543,-618.684574097033
Full,13,1246.7848369848,6.25015667520393,0.0439334918442019,0.0183855601248046,-609.054183198283
Nitrogen,7,1246.81687102064,6.2821907110399,0.0432354138063181,0.0180934240983118,-616.014069313135
Phosphorus,7,1247.39363209537,6.8589517857688,0.0324039194479523,0.0135605931666521,-616.3024498505
Nutrient,9,1249.04091668243,8.50623637283388,0.0142198246427445,0.00595080040212783,-614.877601198358
