K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,Model
9,1240.5346803096,0,1,0.41848620159773,-610.624483011941,0.41848620159773,Null
7,1240.7325226551,0.197842345503659,0.905814108042869,0.379070705428496,-612.971895130367,0.797556907026227,Base
5,1244.33890430949,3.80422399989402,0.149253063650734,0.0624603476840199,-616.961118821412,0.860017254710247,Base
7,1244.72540252808,4.19072221848637,0.12302580987463,0.0514846038729186,-614.968335066859,0.911501858583165,Coat Colour
4,1245.64501026303,5.11032995343453,0.0776794157151279,0.0325077636249549,-618.684574097033,0.94400962220812,Energetic
13,1246.7848369848,6.25015667520393,0.0439334918442019,0.0183855601248049,-609.054183198283,0.962395182332925,Full
7,1246.81687102064,6.28219071104013,0.0432354138063131,0.0180934240983101,-616.014069313135,0.980488606431235,Phosphorus
7,1247.39363209537,6.85895178577107,0.0324039194479154,0.013560593166637,-616.302449850501,0.994049199597872,Nutrient
9,1249.04091668243,8.50623637283388,0.0142198246427445,0.00595080040212794,-614.877601198358,1,Nutrient
