K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,Model
8,834.049279542745,0,1,0.903465320941422,-408.250446222985,0.903465320941422,Energetic
6,839.848629420217,5.79934987747276,0.0550411088811716,0.0497277331002995,-413.482209446951,0.953193054041722,Temperature
3,842.115249651492,8.06597010874782,0.0177213517230762,0.0160106267220048,-417.935175846154,0.969203680763727,Null
4,842.906698430496,8.85741888775124,0.0119298759166759,0.0107782291738509,-417.247163648238,0.979981909937578,Base
12,843.034490174139,8.98521063139469,0.0111914485381012,0.010111085645275,-407.764436098306,0.990092995582853,Full
6,844.503868425642,10.4545888828974,0.00536802919053367,0.00484982821544842,-415.809828949663,0.994942823798301,Coat Colour
6,845.868206449479,11.8189269067342,0.00271364249259399,0.00245168188549172,-416.491997961582,0.997394505683793,Nitrogen
6,846.05962796224,12.0103484194951,0.00246595971696733,0.00222790908711851,-416.587708717962,0.999622414770911,Phosphorus
8,849.609672922006,15.5603933792617,0.000417929964035956,0.000377585229088782,-416.030642912616,1,Nutrient
