Modnames,K,AICc,Delta_AICc,AICcWt,LL
Base,4,-319.345457757351,0,0.530743286361518,163.966846525734
Phosphorus,6,-316.501409244868,2.84404851248337,0.128028666377481,164.887068258797
Coat,6,-315.748611113357,3.59684664399435,0.0878697082418594,164.510669193042
Null,3,-315.694176776122,3.65128098122932,0.0855103961155972,161.021001431539
Nitrogen,6,-315.118326653825,4.22713110352612,0.0641172154350825,164.195526963276
Temp,6,-314.984878539574,4.36057921777712,0.0599786605986683,164.128802906151
Energetic,8,-313.164901586371,6.18055617098008,0.0241431420254998,165.707450793185
Nutrient,8,-312.697469771435,6.64798798591585,0.0191113893465628,165.473734885718
Full,12,-305.400724109617,13.9447336477336,0.000497535497730993,167.300362054809
