Modnames,K,AICc,Delta_AICc,AICcWt,LL
Null,3,246.052,0,0.429,-119.771
Base,4,246.427,0.375,0.356,-118.779
Temp,6,249.482,3.43,0.077,-117.786
Nitrogen,6,250.299,4.247,0.051,-118.195
Phosphorus,6,251.056,5.004,0.035,-118.574
Coat,6,251.43,5.378,0.029,-118.76
Energetic,8,252.625,6.573,0.016,-116.598
Nutrient,8,254.453,8.401,0.006,-117.512
Full,12,262.601,16.549,0,-115.195
