Modnames,K,AICc,Delta_AICc,AICcWt,LL
Base,4,353.009,0,0.531,-172.211
Phosphorus,6,355.853,2.844,0.128,-171.29
Coat,6,356.606,3.597,0.088,-171.667
Null,3,356.661,3.651,0.086,-175.156
Nitrogen,6,357.237,4.227,0.064,-171.982
Temp,6,357.37,4.361,0.06,-172.049
Energetic,8,359.19,6.181,0.024,-170.47
Nutrient,8,359.657,6.648,0.019,-170.704
Full,12,366.954,13.945,0,-168.877
