Modnames,K,AICc,Delta_AICc,AICcWt,LL
Base,4,353.009,0,0.523,-172.211
Phosphorus,6,355.853,2.844,0.126,-171.29
Coat,6,356.361,3.352,0.098,-171.544
Null,3,356.661,3.651,0.084,-175.156
Nitrogen,6,357.237,4.227,0.063,-171.982
Temp,6,357.37,4.361,0.059,-172.049
Energetic,8,358.957,5.948,0.027,-170.354
Nutrient,8,359.657,6.648,0.019,-170.704
Full,12,366.813,13.804,0.001,-168.806
